protein_annotation	regex_label	manual_label	note
Putative SegB homing endonuclease	proper		
SPbeta prophage-derived uncharacterized protein YomU	proper		
TelA-like protein SA1238	proper		
Predicted ATPase (AAA+ superfamily)	proper		
Ubiquitin-specific protease 12	proper		
Pyocin repressor protein	proper		
Nudix hydrolase 1	proper		
AntA domain-containing protein	proper		
Putative PhoH family protein	proper		
Peptidoglycan-binding protein LysM	proper		
DUF1052 domain-containing protein	low informative		
D257	proper		
DNA-directed RNA polymerase subunit B	proper		
SMCA2 protein	proper		
PUA domain (Predicted RNA-binding domain)	proper		
Protein auxin signaling F-BOX 3	proper		
Putative phage repressor	proper		
bifunctional dihydrofolate reductase-thymidylate synthase-like isoform X2	proper		
SOS-response transcriptional repressor LexA	proper		
Metallophosphoesterase, putative	proper		
NAPRTase-domain-containing protein	proper		
Serine threonine	proper		
Phage anti-repressor, putative	proper		
Ig family protein	proper		
Tyrosine recombinase XerC-like protein	proper		
Superoxide dismutase, Fe-Mn family	proper		
Putative DNA polymerase III epsilon subunit (Exonuclease)	proper		
HsdFM protein	proper		
Exonuclease domain protein	proper		
Chaperonin-60kD, ch60	proper		
Dam-replacing protein (DRP), restriction endonuclease	proper		
Rdx protein	proper		
PLD-like domain-containing protein	proper		
D-alanyl-lipoteichoic acid acyltransferase DltB, MBOAT superfamily	proper		
Aminoglycoside N(6')-acetyltransferase type 1	proper		
Phosphate-binding protein PstS	proper		
ATP-dependent exoDNAse (Exonuclease V), alpha subunit-helicase superfamily I member	proper		
cDNA FLJ10262 fis, clone HEMBB1000985, weakly similar to MIPP PROTEIN	proper		
ClpXP protease specificity-enhancing factor	proper		
Bacteriophage restriction endonuclease	proper		
Portal protein lambda family	proper		
D5-like protein	proper		
Glycine-rich cell wall structural family protein	proper		
Chromosome-partitioning protein Spo0J	proper		
Flap endonuclease 1	proper		
Cytidine and deoxycytidylate deaminase zinc-binding region family protein	proper		
Core histone macro-H2A.1	proper		
Dihydroanticapsin 7-dehydrogenase	proper		
Chloroplast protein Ycf39	proper		
Putative SWI2/SNF2 Brahma-like protein	proper		
Kelch-like family member 17	proper		
Bifunctional AAA family ATPase chaperone/translocase BCS1	proper		
Glutaredoxin-like protein	proper		
Tfp pilus assembly protein PilF	proper		
Mitochondrial polypeptide chain release factor	proper		
Protein ExsB	proper		
Kbl protein	proper		
Glycosyl hydrolase family 108	proper		
Os05g0521000 protein	proper		
Phage integrase family Site-specific recombinase	proper		
ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	proper		
Membrane protein SmpA	proper		
LexA repressor family protein	proper		
Phage C1 repressor	proper		
RimK-like protein	proper		
Nicotinamide phosphoribosyltransferase domain protein	proper		
Predicted metalloprotease, containing Jab1/MPN domain	proper		
CGP-CTERM sorting domain-containing protein	proper		
Peptidase C26, putative glutamine amidotransferase	proper		
Related to helicase-like transcription factor protein	proper		
Mini-ribonuclease 3	proper		
ATP-dependent DNA helicase, Rep family	proper		
Bacteriophage protein D	proper		
Mn2+ Fe2+ transporter	proper		
Putative transitional endoplasmic reticulum ATPase	proper		
Nucleoid-associated protein C3Z13_01235	proper		
Metallophosphatase family protein	proper		
Alpha-1,3/4-fucosidase	proper		
Putative cell polarity protein	proper		
Ribonuclease E	proper		
Putative BCS1 family isoform 9	proper		
Polysaccharide deacetylase family protein	proper		
DNA replication factor C complex subunit 3	proper		
Highly reducing polyketide synthase virA	proper		
DUF605-domain-containing protein	low informative		
Phage cI repressor	proper		
flotillin-2 isoform X1	proper		
Rubredoxin-NAD(+) reductase, putative	proper		
tRNA-specific adenosine deaminase subunit TAD3	proper		
Site-specific DNA-methyltransferase (Adenine-specific)	proper		
Mitochondrial DNA polymerase I protein B, putative	proper		
Zinc knuckle protein	proper		
Phage minor capsid protein	proper		
Exoenzyme S synthesis protein B	proper		
Oxidoreductase protein	proper		
probable helicase CHR10 isoform X4	proper		
YlcG family protein	proper		
DNA-binding protein, putative	proper		
ERLIN1 isoform 3	proper		
Flotillin-1-like protein	proper		
Ca-activated chloride channel homolog	proper		
Cyclopropane fatty-acyl-phospholipid synthase-like methyltransferase	proper		
LPD3 domain-containing protein	proper		
ORF6N domain-containing protein	uninformative		
Transposase is204/is1001/is1096/is1165 family protein	proper		
GMC_oxred_C domain-containing protein	proper		
Bacteriophage protein GP30.3	proper		
Tad domain-containing protein	proper		
Phage holin family protein	proper		
uncharacterized protein LOC111485341	uninformative		
PEGA domain protein	proper		
Mu-like prophage protein GP28	proper		
anthrax toxin receptor-like	proper		
RNA polymerase sigma factor, sigma-70 family	proper		
Transposase Mu	proper		
PCNA	proper		
EGF domain-containing protein	proper		
Helicase RecD/TraA	proper		
Nucleoside triphosphate pyrophosphohydrolase family protein	proper		
LEM domain-containing protein	proper		
Glutamine amidotransferase Rv2859c	proper		
Similar to cryptic prophage endopeptidase b1362	proper		
Type IV pilus biogenesis protein FimT	proper		
Uncharacterized protein involved in tellurite resistance	proper		
DNA breaking-rejoining protein	proper		
sorbin and SH3 domain-containing protein 2 isoform X9	proper		
Unplaced genomic scaffold scaffold_127, whole genome shotgun sequence	uninformative		
PRTase-like protein	proper		
Structural maintenance of chromosomes protein 4	proper		
NADH-rubredoxin oxidoreductase	proper		
EF-hand domain pair	proper		
Muramidase (Phage lysozyme)/glucan-binding YG repeat protein	proper		
DNA repair photolyase	proper		
Chaperonin CPN60-like 2, mitochondrial	proper		
5'-deoxynucleotidase VC_1978	proper		
Phage major capsid protein family	proper		
cDNA FLJ52901, highly similar to Procollagen-lysine,2-oxoglutarate5-dioxygenase 1	proper		
Protein sidekick-2	proper		
Bacteriophage terminase large (ATPase) subunit and inactivated derivatives	proper		
Putative Polynucleotide kinase or ligase	proper		
Transcriptional regulator uhpA	proper		
Cysteine protease, C1A family	proper		
T9SS type B sorting domain-containing protein	proper		
Lipopolysaccharide heptosyltransferase family protein	proper		
Type II secretory pathway component ExeA (Predicted ATPase)	proper		
ATPase associated with various cellular activities (AAA) family protein	proper		
Tam protein	proper		
Type II secretory pathway, component ExeA	proper		
Rnase H family	proper		
Nucleophile aminohydrolase	proper		
Putative DNA methylase	proper		
Thymidylate synthase (FAD)	proper		
AAA ATPase domain protein	proper		
SNF2 family helicase,ATP-dependent helicase HepA,N-formylmethionyl-tRNA deformylase,SNF2 family N-terminal domain	proper		
N-acetylneuraminic acid mutarotase / N-acetylneuraminate epimerase protein	proper		
D-alanine--D-alanine ligase Ddl	proper		
FOG: CBS domain	proper		
Polyketide synthase subunit	proper		
protein HYPER-SENSITIVITY-RELATED 4-like	proper		
Lipolytic enzyme, G-D-S-L	proper		
Chain length determinant protein	proper		
Uncharacterized phage protein (Possible DNA packaging)	proper		
Integrase-like protein	proper		
AAA ATPase midasin	proper		
Ribonucleoside-diphosphate reductase NrdZ	proper		
Transglycosylase SLT domain protein	proper		
UDP-2,3-diacylglucosamine diphosphatase	proper		
AKR1D1 protein	proper		
D-ribose pyranase	proper		
PriCT_2 domain-containing protein	proper		
BRO N-terminal domain and zinc finger containing protein	proper		
Kelch-like 24	proper		
KLH35 protein	proper		
J domain-containing protein	proper		
Repressor protein c2	proper		
DNA replication protein DnaC2	proper		
Putative ATP-dependent helicase	proper		
Phage protein GP20	uninformative		
Phage antirepressor protein YoqD, KilAC domain	proper		
Chloroplast-targeted nuclear-encoded recombinase	proper		
Putative exported protein, putative phage protein	proper		
TBP-associated factor A	proper		
CRAL-TRIO domain-containing protein	proper		
Arabinogalactan endo-beta-1,4-galactanase	proper		
Deoxynucleotide monophosphate kinase (Modular protein)	proper		
Ribose-phosphate	proper		
Phage tail tape measure protein, TP901 family	proper		
Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, involved in TypeVI secretion	proper		
Collagen alpha-1(XIV) chain	proper		
Stringent starvation protein B	proper		
Capsid protein gpE	proper		
Lytic transglycosylase-like, catalytic	proper		
Hslvu proteolytic protein	proper		
Bacterial Ig-like domain-containing protein	proper		
Putative phage regluatory protein	proper		
Bacteriophage tail protein	proper		
Bacteriophage Mu GP30-like protein	proper		
Putative Asparagine synthetase	proper		
RnaseH	proper		
HSP20 family protein	proper		
Conserved hypothetical phage protein	uninformative		
Mu-like prophage FluMu protein gp46	proper		
TRAP-T family transporter, periplasmic substrate binding subunit	proper		
Chromosome replication initiator DnaA	proper		
FHA domain-containing protein	proper		
Possible neutral zinc metallopeptidase	proper		
Phage portal protein gp6	proper		
Phage, related protein, putative	proper		
Putative prophage transcriptional regulator	proper		
Glycoside hydrolase 97	proper		
3-hydroxyanthranilic acid dioxygenase	proper		
IclR family transcriptional regulator [Amycolicicoccus subflavus DQS3-9A1]	proper		
Putative single-stranded DNA-binding protein	proper		
Protein CbbY, plasmid	proper		
Putative outcast-2 dan	proper		
3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	proper		
Putative DNA METHYLTRANSFERASE PROTEIN	proper		
Zonula occludens toxin (Zot)	proper		
(California timema) hypothetical protein	uninformative		
Kelch like family member 28	proper		
NmrA family protein	proper		
Biotin synthesis protein/methyltransferase	proper		
SRPBCC domain-containing protein	proper		
Immunoglobulin-binding regulator A	proper		
Replication P	proper		
CENPC protein	proper		
ATP-binding region ATPase domain protein	proper		
HTH_8 domain-containing protein	proper		
Acetylmuramidase	proper		
JAB domain-containing protein	proper		
Glycosyltransferase family 1 protein	proper		
BRO family, N-domain-containing protein	proper		
ATP-dependent DNA helicase PIF1	proper		
Putative metallophosphatase	proper		
4-hydroxythreonine-4-phosphate dehydrogenase	proper		
ATP-dependent metalloendopeptidase	proper		
Putative two-component response regulator	proper		
uncharacterized protein LOC110773225 isoform X1	proper		
Glycogen branching enzyme	proper		
PEP-utilizers_C domain-containing protein	proper		
BppL_N domain-containing protein	proper		
3'-5' exonuclease	proper		
FtsZ11 protein	proper		
Ribonucleotide reductase of class Ia (Aerobic), beta subunit	proper		
Putative AraC family transcription regulator	proper		
3,4-dihydroxy-2-butanone 4-phosphate synthase	proper		
1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase-like pyridoxal-dependent ACC family enzyme	proper		
Glutaredoxin	proper		
D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase	proper		
Outer membrane protein alpha	proper		
Putative structure Structural component (Phage or Prophage Related)	proper		
Putative bcs1-like atpase	proper		
DNA_mis_repair domain-containing protein	proper		
Bacteriophage transcriptional regulator	proper		
cell division cycle protein 48 homolog	proper		
Acetolactate synthase	proper		
DNA polymerase I family protein	proper		
DnaJ domain and Chaperone DnaJ, C-terminal domain and HSP40/DnaJ peptide-binding domain-containing protein	proper		
Putative Bis(5-nucleosyl)-tetraphosphatase	proper		
Phage holin family	proper		
Uracil DNA glycosylase superfamily protein	proper		
Mitochondrial division protein fszB	proper		
Protein of uncharacterized function (DUF3313)	low informative		
Molecular chaperone of HSP90 family	proper		
MelC2 protein	proper		
Adenine methyltransferase	proper		
Secreted effector protein PipB	proper		
Endonuclease/exonuclease/phosphatase family protein	proper		
SPP1 gp7 family phage head morphogenesis protein	proper		
Chromatin remodeling complex subunit	proper		
Portal protein lambda	proper		
Elements of external origin	proper		
Acetyltransferase (GNAT) family	proper		
Na(+)/H(+) antiporter 1	proper		
Thymidylate synthase/dCMP hydroxymethylase	proper		
DNA excision repair protein ERCC-6-like	proper		
Hypoxanthine phosphoribosyltransferase	proper		
ParB-like nuclease domain	proper		
Mlr5477 protein	proper		
kelch-like protein 3 isoform X6	proper		
Atp-binding	proper		
Pullulanase secretion envelope pulD	proper		
Gpkow protein	proper		
Rz family phage spanin	proper		
Putative TerX protein	proper		
Flotillin-2a	proper		
Ethanolamine utilization protein	proper		
Bacterial regulatory helix-turn-helix protein, lysR family	proper		
RecA-family ATPase	proper		
Phage GP46	uninformative		
Chorismate mutase domain-containing protein	proper		
Uncharacterized conserved protein, implicated in type VI secretion and phage assembly	proper		
Translocase	proper		
RpiR family carbohydrate utilization transcriptional regulator	proper		
Transmembrane protein 131	proper		
SleB protein	proper		
AP2 domain-containing protein	proper		
GDSL-like lipase/ acylhydrolase	proper		
Exonuclease RNase T and DNA polymerase III	proper		
Phage uncharacterized protein (Putative large terminase), C-terminal domain-containing protein	proper		
Calcium-dependent cysteine protease	proper		
Protein-L-isoaspartate(D-aspartate)O-methyltrans ferase	proper		
Uncharacterized N-acetyltransferase YoaA	proper		
7-cyano-7-deazaguanine synthase 2	proper		
E3 ubiquitin-protein ligase RNF5	proper		
kelch domain-containing protein 8A isoform X1	proper		
Collagen alpha-1(XXI) chain-like	proper		
Putative cryptic prophage protein	proper		
DnaJ domain containing protein 3	proper		
CXADR-like membrane protein	proper		
DNA-directed RNA polymerase I subunit rpa2,DNA-directed RNA polymerase I subunit RPA2,Probable DNA-directed RNA polymerase I subunit RPA2,DNA-directed RNA polymerase I subunit RPA135	proper		
Kelch domain-containing protein 3 isoform C	proper		
Phage-tail assembly protein-like protein	proper		
DNA-binding transcriptional regulator YhcF (GntR family)	proper		
Putative pilus assembly protein	proper		
Double-strand break repair protein	proper		
Possible LysM domain	proper		
Helicase SNF	proper		
DNA excision repair protein ERCC-3	proper		
C1q and tumor necrosis factor-related protein 9 isoform 1	proper		
COG0553: Superfamily II DNA/RNA helicases, SNF2 family	proper		
RyR domain protein	proper		
kelch-like ECH-associated protein 1 isoform X2	proper		
Site-specific recombinase XerD	proper		
Putative phage minor tail protein L	proper		
Two-component system response regulator protein	proper		
Putative head to tail joining	proper		
Probable secreted protein	proper		
Big_4 domain-containing protein	proper		
Phage antirepressor N-terminal domain-containing protein	proper		
Phage morphogenesis protein	proper		
Resolvase-like	proper		
ThyA	proper		
DUF1565 domain-containing protein	low informative		
Spermatogenesis associated protein 5	proper		
Invasion associated endopeptidase	proper		
Peptidoglycan-binding domain 1 protein, general secretion pathway protein A	proper		
uncharacterized protein LOC106163575	uninformative		
PG_binding_3 domain-containing protein	proper		
HAD-superfamily hydrolase	proper		
Stomatin (EPB72)-like 2 isoform 1	proper		
Adenylyl-sulfate kinase	proper		
Copper-exporting P-type ATPase A	proper		
Bacteriophage protein GP05	uninformative		
Riboflavin biosynthesis protein RibF	proper		
Ig domain protein, group 2 domain protein	proper		
UPF0207 protein yfbR	proper		
Glycoside hydrolase family 16	proper		
G-D-S-L family lipolytic enzyme	proper		
Similar to Probable quinone oxidoreductase acc. no. P38230	proper		
Tail-collar fiber protein	proper		
Ribonuclease H1like [Bombyx mori]	proper		
Phosphoglycolate phosphatase	proper		
Phi APSE P51-like protein	proper		
ATP-dependent zinc metalloprotease FTSH 8, chloroplastic	proper		
2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3-like protein	proper		
Host-nuclease inhibitor protein Gam	proper		
Putative zinc-containing alcohol dehydrogenase	proper		
Putative transcriptional regulator, IclR family	proper		
CbbQ/NirQ/NorQ/GpvN family protein	proper		
Macro_2 domain-containing protein	proper		
Acyl-CoA-binding domain-containing protein 5 isoform X1	proper		
Primary ciliary dyskinesia protein	proper		
MYM-type Zinc finger with FCS sequence motif protein	proper		
ATP-dependent exoDNAse (Exonuclease V) alpha subunit-helicase superfamily I member-like protein	proper		
DUF1273 family protein	low informative		
YceD	proper		
Single-strand binding protein family	proper		
Putative recombination protein U	proper		
CSON003223 protein	low informative		
probable ATP-dependent DNA helicase CHR12 isoform X2	proper		
Coiled-coil domain-containing protein 110	proper		
Uncharacterized protein HI_1412	uninformative		
Kelch protein 23-like	proper		
ATP-dependent protease ATPase subunit HslU	proper		
GIY-YIG-domain-containing protein	proper		
Protein containing DUF847	low informative		
GH04238p	proper		
Probable chromosome partitioning protein ParB	proper		
WD domain G-beta repeat uncharacterized protein	proper		
HTH cro/C1-type domain-containing protein	proper		
Pseudaminic acid biosynthesis N-acetyl transferase	proper		
Putative minor tail protein	proper		
Uncharacterized protein in mobD 3'region	proper		
PriCT-2 domain-containing protein	proper		
Putative chromosome-partitioning protein ParB	proper		
Putative surface-anchored fimbrial subunit	proper		
Cornichon	proper		
Unplaced genomic scaffold CY34scaffold_274, whole genome shotgun sequence	uninformative		
N-acetylneuraminic acid mutarotase	proper		
Gp28 protein	uninformative		
Protein phf-isoform b	proper		
Homing endonuclease, LAGLIDADG	proper		
MHP	proper		
Gene transfer agent FAD/FMN-containing dehydrogenase	proper		
Putative dinucleotide-binding enzyme	proper		
BgtA-20668	proper		
Type IV pilus (Tfp) assembly protein PilQ	proper		
Edewey	proper		
Appr1-p processing enzyme family protein, putative	proper		
uncharacterized protein LOC114435282	uninformative		
Wrt-4 protein	proper		
Bacteriophage Mu transposase	proper		
Kelch-like protein 2 isoform 2	proper		
Uncharacterized protein DUF3696	low informative		
Gp33	uninformative		
RNA t4 family protein	proper		
A1pp-domain-containing protein	proper		
Agglutinin receptor	proper		
ATP-dependent RNA helicase RhlE	proper		
DOD-type homing endonuclease domain-containing protein	proper		
Appr-1-p processing enzyme family protein	proper		
NEDD4-binding protein 2-like 1 isoform 3	proper		
Glycosyl hydrolase, family 43	proper		
DUF4379 domain-containing protein	low informative		
Outer-membrane lipoprotein carrier protein	proper		
ATP-dependent zinc metalloprotease YME1	proper		
Putative Phage protein	uninformative		
Hus1 family protein	proper		
Putative Ribonuclease H1	proper		
ATPase WRNIP1 C26H5.02c	proper		
Possible DNA-dependent RNA polymerase	proper		
Putative Midasin	proper		
Gp71	uninformative		
DNA/RNA endonuclease G (NUC1)	proper		
NLPC/P60 domain-containing protein	proper		
Phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase	proper		
Putative enzyme	proper		
Cdse	proper		
Zinc finger, DksA/TraR C4-type	proper		
CDC48 family AAA ATPase	proper		
Lytic transglycosylase catalytic	proper		
Family 16 glycosylhydrolase	proper		
ATP-binding cassette domain-containing protein	proper		
Replicative DNA helicase loader DnaB	proper		
HTH-type transcriptional regulator prtR	proper		
Putative prophage PSSB64-02, Orf18	proper		
Probable tRNA sulfurtransferase	proper		
Similar to T5p118 from Bacteriophage T5	proper		
ExeA-like protein	proper		
Zonular occludens toxin (Zot)	proper		
Linocin_M18 bacteriocin protein	proper		
Aromatic acid decarboxylase	proper		
Serine/threonine-protein phosphatase 1	proper		
Transcriptional regulatory protein	proper		
Antizyme inhibitor 1	proper		
GpW/GP25 family protein	proper		
Bardet-Biedl syndrome 5 protein-like	proper		
uncharacterized protein LOC117547216	uninformative		
Error-prone repair protein UmuD	proper		
Putative amidase	proper		
Phage-like integrase	proper		
Type VI secretion protein	proper		
S-adenosyl-l-methionine-dependent methyltransferase	proper		
Phage-related minor capsid protein (GpG protein)	proper		
Phage-related protein predicted endonuclease-like protein	proper		
Putative Metallophosphoesterase	proper		
Myb_DNA-bind_3 domain-containing protein	proper		
Ribonucleotide reductase R2 subunit variant	proper		
Streptococcal hemagglutinin protein	proper		
phosphoribosyl pyrophosphate synthase-associated protein 2 isoform X4	proper		
Enamine deaminase RidA (YjgF/YER057c/UK114 family)	proper		
UDP-Glycosyltransferase/glycogen phosphorylase	proper		
Recombination and DNA strand exchange inhibitor protein	proper		
Prophage PSPPH06, virion morphoproteinsis protein	proper		
Cyclic di-GMP phosphodiesterase PdeR	proper		
Origin specific replication binding factor	proper		
AAA domain (Cdc48 subfamily)	proper		
Proteasome subunit beta type-7-B	proper		
Protein lysB	proper		
ATP-dependent exodnase subunit beta	proper		
Exonuclease, RNase T and DNA polymerase III	proper		
Ubiquitous surface protein A2H	proper		
Putative phage protease	proper		
Transcription/repair factor tfiih subunit/ TFIIH P44	proper		
Protein ninB, putative	proper		
Auxin-binding 1	proper		
Norphogenetic	proper		
MACRO domain containing 1	proper		
ZRANB3	proper		
Proteasome subunit alpha	proper		
DUF2399 domain-containing protein	low informative		
Putative two-component system regulatory protein	proper		
Putative ATPase related to phosphate starvation-inducible protein PhoH	proper		
Genome assembly, chromosome: II	uninformative		
Helix-turn-helix domain	proper		
PF06074 family protein	proper		
Phage QLRG family, putative DNA packaging	proper		
Bacteriophage capsid protein (Modular protein)	proper		
Lysozyme	proper		
Peptide deformylase, DNA processing protein	proper		
Inner kinetochore subunit cnp3	proper		
Peptidase U35 phage prohead	proper		
Modification methylase ScaI	proper		
NADH-flavin reductase	proper		
Unplaced genomic scaffold SPHSTscaffold_415, whole genome shotgun sequence	uninformative		
kelch-like protein diablo isoform X1	proper		
Phosphoesterase RecJ domain protein	proper		
Hsp20/alpha crystallin family protein	proper		
Terminase subunit	proper		
Putative metal-dependent peptidase	proper		
Phage tail sheath subtilisin-like domain-containing protein	proper		
Putative nuclease (SNase-like)	proper		
UPF0200 protein DRO23_05835	proper		
Phage-like element PBSX protein xkdQ	proper		
Phosphopantothenate-cysteine ligase/Phosphopantothenoylcysteine decarboxylase	proper		
COL6A	proper		
Epithiospecifier protein	proper		
Transposase, ISL3 family	proper		
YLP motif containing 1	proper		
PF11443 domain protein	proper		
Ribonucleoside-diphosphate reductase beta subunit, putative	proper		
Putative bacteriophage tail fiber protein	proper		
Mor transcription activator domain protein	proper		
60 kDa chaperonin	proper		
Calcium-gated potassium channel MthK	proper		
Dihydroaeruginoic acid synthetase	proper		
tRNA threonylcarbamoyl adenosine modification protein (Sua5/YciO/YrdC/YwlC family)	proper		
Uncharacterized protein YfaP (DUF2135 family)	low informative		
Toxic anion resistance	proper		
Prophage pi3 protein 45	proper		
Nucleoside 2-deoxyribosyltransferase protein	proper		
Putative ribonuclease H-like domain-containing protein	proper		
Putative phage single-strand DNA binding protein	proper		
LANO_0H04720g1_1	proper		
Uncharacterized protein DUF2184	low informative		
Regulatory protein cro	proper		
p42.1	proper		
Gamma-ECS	proper		
Putative phage replication protein O	proper		
thymidine kinase 2, mitochondrial	proper		
Similar to Uncharacterized protein conserved in bacteria	proper		
NAD(+)-arginine ADP-ribosyltransferase EFV	proper		
Ser/threonine protein phosphatase	proper		
Phage tail region protein	proper		
Exodeoxyribonuclease VIII-like protein	proper		
Sulfate adenylyltransferase subunit CysD	proper		
Histidine kinase/DNA gyrase B/HSP90-like ATPase	proper		
Glycoside hydrolase/deacetylase	proper		
Type I secretion protein	proper		
Putative Acetyltransferase	proper		
GIY-YIG endonuclease n3 TaxNectriaceae RepIDA7LM71_FUSOX	proper		
Thioredoxin domain	proper		
Flp pilus assembly protein CapC	proper		
Peptidase_C39 like family protein	proper		
Phage major tail protein	proper		
DNA ligase (ATP)	proper		
Peptidoglycan hydrolase-like protein with peptidoglycan-binding domain	proper		
CO-responsive transcriptional regulator RcoM	proper		
Prolyl 4-hydroxylase subunit alpha	proper		
Adenine/guanine phosphoribosyltransferase-like PRPP-binding protein	proper		
DNA polymerase III subunit gamma/tau	proper		
Tellurium resistance protein terZ	proper		
Phage uncharacterized protein	uninformative		
Short-chain dehydrogenase reductase sdr	proper		
Bacteriophage terminase large subunit-like protein	proper		
ATPase WRNIP1 like C26H5.02c	proper		
Phage Terminase	proper		
Retrotransposon protein, putative, unclassified	proper		
Putative gp36	uninformative		
Transmembrane protein 203-like protein	proper		
Putative 2-oxoglutarate/Fe(II)-dependent dioxygenase YbiX	proper		
PaaR repeat-containing protein	proper		
Related to DNA ligase	proper		
Putative kelch-like protein 22	proper		
Phosphoribosyl pyrophosphate synthase-associated protein 1-like	proper		
Prophage major tail protein	proper		
Putative peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase isoform X1	proper		
Mu-like prophage FluMu protein gp27	proper		
Class iv chitinase	proper		
RibD C-terminal domain protein	proper		
Collagen alpha-1(XII) chain	proper		
DD-transpeptidase	proper		
KLHL7	proper		
Carboxypeptidase regulatory-like domain-containing protein	proper		
Phosphoesterase [Lactobacillus sakei subsp. sakei 23K]	proper		
Phage terminase GpA family protein	proper		
Thioredoxin domain-containing protein	proper		
aspartyl/asparaginyl beta-hydroxylase-like isoform X2	proper		
ERLIN	proper		
Regulator of rDNA transcription protein 5	proper		
ATPase AAA type domain containing protein	proper		
LytTr DNA-binding region domain protein	proper		
DNA primase/type III restriction enzyme/DEAD/DEAH box helicase	proper		
N4 gp25-like protein	proper		
DNA replication and repair protein RecF	proper		
Nudix (nucleoside diphosphate linked moiety X)-type motif 15	proper		
MCM domain-containing protein	proper		
FAD dependent oxidoreductase TIGR03364	proper		
Phage-tail assembly-like protein	proper		
MSHA biogenesis protein MshM (Pilus type IV)	proper		
Signal sequence receptor subunit delta	proper		
DNA repair and recombination protein RAD54, putative	proper		
26 kDa repressor protein	proper		
Phage/plasmid primase-like uncharacterized protein	proper		
DUF4815 domain-containing protein	low informative		
Quinolone resistance protein	proper		
Putative Phage single-stranded DNA-binding protein	proper		
TypeIII_RM_meth domain-containing protein	proper		
Putative 7-cyano-7-deazaguanine synthase	proper		
Molecular chaperone, putative	proper		
CDC48/VCP like protein, AAA superfamily	proper		
CLUMA_CG006789, isoform A	proper		
60 kDa chaperonin 1	proper		
Polymerase epsilon subunit	proper		
Os08g0158500 protein	proper		
ribose-phosphate pyrophosphokinase 2 isoform X2	proper		
Mitochondrial ATP-dependent zinc metallopeptidase	proper		
SprT	proper		
Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (dUTP pyrophosphatase) (MjDUT)	proper		
Polymerase protein	proper		
GH24 family phage-related lysozyme (Muramidase)	proper		
StrR	proper		
HNH endonuclease, putative	proper		
Putative transcriptional regulator, IclR family protein	proper		
Cadherin domain-containing protein	proper		
Nicotinamide phosphoribosyltransferase	proper		
Guanosine polyphosphate pyrophosphohydrolase/synthetase	proper		
ADP-ribose glycohydrolase OARD1-like	proper		
DNA repair protein recA-like protein 3, mitochondrial-like	proper		
Transposase IS1193D-like	proper		
Phage integrase Arm DNA-binding domain-containing protein	proper		
Putative Gp21	uninformative		
Putative chromosome segregation ATPase	proper		
Phosphopantothenate-cysteine ligase/phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase	proper		
Putative GIY-YIG homing endonuclease	proper		
Bacteriophage DNA transposition protein B	proper		
Gam-like protein	proper		
Transcription elongation protein	proper		
Chromodomain-helicase-DNA-binding protein 1	proper		
ANTXR cell adhesion molecule 1c	proper		
ATP-dependent DNA helicase Q4	proper		
L-iditol 2-dehydrogenase	proper		
Virion morphogenesis late F orf	proper		
P4HB protein	proper		
Outer membrane protein	proper		
Calpain family cysteine protease	proper		
SH3 domain protein	proper		
Probable cell division protein WhiA	proper		
Type II secretory pathway predicted ATPase ExeA	proper		
Putative dna topoisomerase type ii	proper		
uncharacterized protein RF_0471-like	proper		
Ribosome biogenesis protein NOP53	proper		
Alpha-tubulin suppressor-like RCC1 family protein	proper		
PD40 domain-containing protein	proper		
Uncharacterized protein DUF2314	low informative		
Uncharacterized protein DUF1735	low informative		
Putative phage maturation peptidase	proper		
Kelch domain-containing protein 2-like isoform X4	proper		
Podospora anserina S mat+ genomic DNA chromosome 1, supercontig 3	proper		
L,D-transpeptidase family protein	proper		
Kelch repeat-containing F-box family protein, putative, expressed	proper		
Phage-related major head protein	proper		
Hep_Hag	proper		
Putative DNA-binding protein putative AP2/ERF domain	proper		
N-acetylneuraminate epimerase	proper		
Kelch-like protein 17 isoform X2	proper		
Basic helix-loop-helix DNA-binding superfamily protein isoform 3	proper		
DNA polymerase III, alpha subunit	proper		
probable deoxycytidylate deaminase	proper		
Bcs1 aaa-type ATPase, putative	proper		
Sigma 54-interacting transcriptional regulator	proper		
Serine/threonine protein phosphatase, putative	proper		
Putative diadenosine tetraphosphatase	proper		
Antitoxin HicB	proper		
ATP-dependent zinc metalloprotease YME1 isoform X1	proper		
Collagenase 3	proper		
Ribonuclease H1, putative	proper		
leucine-zipper-like transcriptional regulator 1 homolog isoform X1	proper		
Transposase A	proper		
Phage virion protein	proper		
TP901 family phage tail tape measure protein	proper		
Beta-xylosidase	proper		
ABC-type nitrate/sulfonate/bicarbonate transport system periplasmic component	proper		
Cation/H+ exchanger	proper		
Myb domain-containing protein	proper		
